,Category,Item,Description,Price ($)
32,Appetizers,Aloo Tikki,Mashed Potato with spiced fried,4.95
26,Appetizers,Batata Vada,Mashed potato spices & Fried with Chickpeas flour,4.95
28,Appetizers,Chennai Pakkoda,Onions & Chenna Dal Spices fried,4.95
33,Appetizers,Chilli Pakora,Spiced fritters with chili flavor,6.95
22,Appetizers,Combo,Rice cake & Lentil Donut,5.99
23,Appetizers,Combo In Sambar Bowl,Idly & Vada,5.99
25,Appetizers,Dahi Vada,Lentil donut soaked in sweet yogurt,4.95
24,Appetizers,Masala Vada,Crispy chenna dal mixed with spices & Fried,5.95
19,Appetizers,Medu Vada,Lentil flour Donuts,5.95
21,Appetizers,Medu Vada In Rasam Bowl,Lentil flour Donuts smothered with rasam soup,5.99
20,Appetizers,Medu Vada In Sambar Bowl,Lentil flour Donuts smothered with sambar,5.99
27,Appetizers,Mysore Bonda,Lentil balls spices & cashew fried,4.95
30,Appetizers,Paneer Pakkoda,Cottage cheese deep fried with spices,6.95
31,Appetizers,Samosa,Spiced potato with green peas dumplings,4.95
29,Appetizers,Spring Rolls,Vegetables stuffed platter,5.95
151,Breads,Alu Paratha,Flatbread stuffed with spiced potato,6.95
157,Breads,Batura,Deep-fried leavened bread,4.95
155,Breads,Cheese Paratha,Flatbread stuffed with cheese,6.95
153,Breads,Gobi Paratha,Flatbread stuffed with spiced cauliflower,6.95
158,Breads,Onion / Chilly Kuthu Paratha,"Flatbread stuffed with onions and chili, chopped and stir-fried",6.95
154,Breads,Onion Chilli Paratha,Flatbread stuffed with onions and green chili,5.95
152,Breads,Onion Paratha,Flatbread stuffed with spiced onions,6.95
156,Breads,Paneer Paratha,Flatbread stuffed with paneer,6.95
149,Breads,Paratha,Layered Indian flatbread,4.95
150,Breads,Poori,Deep-fried puffed bread,4.95
148,Breads,Roti,Traditional Indian flatbread,3.95
130,Chettinad Specials,Gobi,South Indian style sauce made with spices & cooked Onions Tomato coconut made spicy,11.95
129,Chettinad Specials,Mix Vegetables,South Indian style sauce made with spices & cooked Onions Tomato coconut made spicy,11.95
128,Chettinad Specials,Paneer,South Indian style sauce made with spices & cooked Onions Tomato coconut made spicy,11.95
131,Chettinad Specials,Soya,South Indian style sauce made with spices & cooked Onions Tomato coconut made spicy,11.95
52,Chinese Village,Baby Corn Chilli Manchurian,Vegetables tossed in home style sauce.,10.95
44,Chinese Village,Chilli Mushroom,Mushroom tossed with Onion & Bell pepper in Chinese sauce.,9.95
53,Chinese Village,Chilli Paneer Dry,Cottage cheese tossed in our homemade chilli sauce.,9.95
42,Chinese Village,Chilly Paneer Dry,Cottage cheese tossed in our homemade chilli sauce.,8.95
50,Chinese Village,Chinese Dosa,"Topped with noodles, dosa batter, cabbage, capsicum, paneer, peas, lemon juice, and spices.",11.95
45,Chinese Village,Crispy Chilli Potato,Sliced Potato tossed in dried red chilli & Onions.,9.95
47,Chinese Village,Gobi Lasuni,Cauliflower sautéed with chilli sauces.,9.95
43,Chinese Village,Gobi Manchurian Dry,Cauliflower tossed in home style sauce.,9.95
46,Chinese Village,Honey Garlic Gobi,Onion & Cauliflower tossed with homemade sauce & Honey.,9.95
49,Chinese Village,Veg Fried Rice,Cooked Rice Fried with Vegetables & Spices.,9.95
48,Chinese Village,Veg Hakka Noodles,"Indian style vegetable hakka noodles with onion, cabbage, bell pepper and carrots.",9.95
51,Chinese Village,Veg Manchurian,Vegetables tossed in home style sauce.,9.95
173,Dessert,Badam Halwa,Rich almond-based sweet,5.95
169,Dessert,Gulab Jamun,Sweet fried dough balls soaked in syrup,4.95
175,Dessert,Halwa With Ice Cream,Traditional halwa served with ice cream,6.95
171,Dessert,Kheer,Rice pudding flavored with cardamom,4.95
174,Dessert,Kulfi Malai,Indian-style frozen dessert made with cream and nuts,4.95
170,Dessert,Rasamalai,Paneer-based dessert soaked in sweetened milk,4.95
172,Dessert,Semiya Payasam,Vermicelli pudding cooked with milk and sugar,4.95
57,Dosas,Butter Masala Dosa,Crepe cooked with butter & potato,9.95
56,Dosas,Butter Sada Dosa,Crepe cooked with butter,8.95
68,Dosas,Chef Special Sampler Dosa 5 Kinds,Special sampler dosa with 5 kinds,21.95
66,Dosas,Ghee Masala Roast,Clarified butter crepe,8.95
58,Dosas,Ghee Roast,Clarified butter crepe,8.95
62,Dosas,Gun Powder Masala Dosa,Crepe very spicy with chana dal / red chilli & spices fried with potato,9.95
55,Dosas,Masala Dosa,Crepe with mashed potato spices,9.95
65,Dosas,Mysore Masala Dosa,Spicy red crepe,9.95
60,Dosas,Mysore Sada Dosa,Spicy red crepe,9.95
64,Dosas,Onion Chilli Masala Dosa,Crepe topped with chopped onions and green chilis.,9.95
63,Dosas,Onion Chilli Sada Dosa,Crepe cooked with Onion & Chilli,9.95
59,Dosas,Paper Roast Dosa,Thin layer crepe,9.95
61,Dosas,Podi Masala Dosa,Crepe with chana dal/ Red chilli & Spices,9.95
54,Dosas,Sada Dosa,Thin rice crepe / Soft thick rice crepe,8.95
67,Dosas,Set Dosa,Thin rice crepe / Soft thick rice crepe,8.95
180,Drinks,D. Coke,Diet coke,1.95
182,Drinks,Ginger,Ginger ale,1.95
188,Drinks,Hot Drink- Herbal Tea,Herbal tea blend,2.95
178,Drinks,Hot Drink-Madras Coffee,Traditional South Indian filter coffee,2.95
187,Drinks,Hot Drink-Masala Tea,Indian masala tea with spices,2.95
186,Drinks,Lassi- Chaas,Buttermilk-style yogurt drink,4.95
185,Drinks,Lassi- Salted,Salted yogurt-based drink,4.95
184,Drinks,Lassi- Sweet,Sweet yogurt-based drink,4.95
177,Drinks,Lassi-Mango,Sweet mango yogurt drink,4.95
189,Drinks,Shakes - Mango,Mango-flavored milkshake,4.95
190,Drinks,Shakes -Chikoo,Chikoo-flavored milkshake,4.95
179,Drinks,Shakes -Vennila,Vanilla-flavored milkshake,4.95
176,Drinks,"Soda- Coke, D. Coke, Thumps Up, Limca Sprite, Ginger / Water",Various carbonated beverages,2.95
181,Drinks,Sprite,Lemon-lime soda,1.95
183,Drinks,Water,Bottled water,1.95
75,Exclusive Dosa,Cheese Masala Dosa Or Sada,Crepe cooked with Cheddar Cheese,10.95
74,Exclusive Dosa,Cheese Onion Chili Masala Dosa,Crepe cooked with cheddar cheese & spices,11.95
80,Exclusive Dosa,Cheese Pondicherry Dosa,Crepe rolled & filled with potato & spices,11.95
81,Exclusive Dosa,Cheese Sada Dosa,Crepe cooked with Cheddar Cheese,10.75
70,Exclusive Dosa,Jaipur Dosa,Paneer / Potato/ Onion / Tomato / Chilies,11.95
69,Exclusive Dosa,Mushroom Masala Dosa,Crepe cooked with mushroom & spiced Potatoes,10.75
79,Exclusive Dosa,"Mushroom, Paneer, Spinach Masala Dosa","Crepe filled with Mushroom, Paneer, and Spinach Masala",13.95
72,Exclusive Dosa,Paneer Bhurji Dosa,"Crepe cooked with cottage cheese, Onions, Bell Pepper",12.95
71,Exclusive Dosa,Paneer Masala Dosa,Crepe cooked with cottage cheese & potato,11.95
78,Exclusive Dosa,Paneer Pondicherry Dosa,Crepe made spicy filled with cottage cheese & potato,11.95
77,Exclusive Dosa,Pondicherry Masala Dosa,Crepe rolled & filled with potato & spices,11.95
73,Exclusive Dosa,Spinach Masala Dosa,Crepe cooked with Spinach & Potato spices,11.95
76,Exclusive Dosa,Spring Masala Dosa,"Crepe cooked with (cabbage, onions, Bell pepper & potato)",11.95
14,Idly'S,Chilli Idly,Rice cakes cooked with onion and bell pepper in Chinese chili sauce,7.95
18,Idly'S,Dahi Idly,Rice cakes soaked in sweet yogurt,5.95
17,Idly'S,Dami Idly,Rice cakes soaked in sweet yogurt,5.95
12,Idly'S,Ghee Fried Idly,Rice cakes fried with spices and onions sauté,7.95
9,Idly'S,Idly,A Savory rice cake from Indian subcontinent,5.95
16,Idly'S,Idly In Rasam Bowl,Rice cakes smothered with rasam soup,6.95
15,Idly'S,Idly In Sambar Bowl,Rice cakes smothered with sambar,6.95
10,Idly'S,Masala Idly,Rice cakes sautéed with Indian spices & herbs,7.95
11,Idly'S,Mini Idly,Small cocktail Idly,5.95
13,Idly'S,Podi Idly,Rice pancakes spiced with dry channa daal powder,6.95
